2024-11-13 19:56:34.720 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.UserRole"
2024-11-13 19:56:34.837 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@37ad042b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@43bdaa1b, org.springframework.security.web.context.SecurityContextPersistenceFilter@7dffda8b, org.springframework.security.web.header.HeaderWriterFilter@2629d5dc, org.springframework.security.web.authentication.logout.LogoutFilter@7301eebe, com.hkust.security.jwt.JwtFilter@10a0fe30, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@50448409, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6abdec0e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2f7efd0b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@30b975ad, org.springframework.security.web.session.SessionManagementFilter@6aa3bfc, org.springframework.security.web.access.ExceptionTranslationFilter@6fc1020a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1c7350b0, com.hkust.security.interceptor.HkustFilterSecurityInterceptor@3a37a501]
2024-11-13 19:56:35.132 WARN  [main] c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.hkust.entity.CabinetType".
2024-11-13 19:56:35.132 WARN  [main] c.b.m.c.injector.DefaultSqlInjector - class com.hkust.entity.CabinetType ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-11-13 19:56:35.140 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "permId" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.Perm"
2024-11-13 19:56:35.150 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "urlId" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.PermDetail"
2024-11-13 19:56:35.182 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10002"]
2024-11-13 19:56:35.203 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 10002 (http) with context path ''
2024-11-13 19:56:47.328 INFO  [http-nio-10002-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-13 19:56:47.328 INFO  [http-nio-10002-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-13 19:56:47.330 INFO  [http-nio-10002-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-11-13 19:56:48.636 INFO  [http-nio-10002-exec-6] o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 439 ms
